Song,Artist,Download,View
24 (feat. Lil Baby),Money Man,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,"786,673"
Quiéreme Mientras Se Pueda,Manuel Turizo,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M,"786,544"
ROSE MARTHE'S LOVE,Damso,https://open.spotify.com/track/1ktmwAlpfYjFQkrCBHmbPK,"779,902"
Are You Bored Yet? (feat. Clairo),Wallows,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,"778,374"
Lose Control,MEDUZA,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,"775,847"
Someone To You,BANNERS,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr,"770,730"
WHATS POPPIN,Jack Harlow,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,"765,060"
exile (feat. Bon Iver),Taylor Swift,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,"764,165"
Yo Perreo Sola,Bad Bunny,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,"763,602"
21,Polo G,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,"756,276"
GOOBA,6ix9ine,https://open.spotify.com/track/6qiiDtFAJjyEhoZVcf6ovL,"756,018"
Lose Somebody,Kygo,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza,"753,287"
Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,"752,983"
when the party's over,Billie Eilish,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,"749,082"
All of Me,John Legend,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,"745,515"
FAIS ÇA BIEN,Damso,https://open.spotify.com/track/0xdp7mJS34hDsLrO6TPCp3,"742,159"
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49,"741,824"
Safaera,Bad Bunny,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,"741,186"
Conversations,Juice WRLD,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob,"737,404"
No Guidance (feat. Drake),Chris Brown,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,"736,792"
Without You,Luke Combs,https://open.spotify.com/track/34slXA5D75T5S0dwYYRd4J,"735,896"
Money Trees,Kendrick Lamar,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,"735,033"
Sweater Weather,The Neighbourhood,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,"732,653"
Daisy,Ashnikko,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,"731,952"
Chicago Freestyle (feat. Giveon),Drake,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,"731,480"
Who's Laughing Now,Ava Max,https://open.spotify.com/track/2ICse7t8MB60EFk6o9aUyw,"730,736"
