Song,Artist,Download,View
Blueberry Faygo,Lil Mosey,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,"1,172,397"
Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,"1,169,732"
Señorita,"Shawn Mendes, Camila Cabello",https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,"1,165,480"
Stuck with U (with Justin Bieber),Ariana Grande,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,"1,134,286"
The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,"1,132,151"
bad guy,Billie Eilish,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,"1,113,569"
HIGHEST IN THE ROOM,Travis Scott,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,"1,108,410"
Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,"1,108,191"
Diamonds,Sam Smith,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS,"1,095,584"
Mistletoe,Justin Bieber,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA,"1,094,812"
Tusa,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,"1,091,638"
Ice Cream (with Selena Gomez),BLACKPINK,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,"1,083,236"
Shallow,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,"1,074,742"
Head Shoulders Knees & Toes (feat. Norma Jean Martine),"Ofenbach, Quarterhead",https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG,"1,065,016"
Lovesick Girls,BLACKPINK,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,"1,064,932"
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK,"1,064,253"
Robbery,Juice WRLD,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,"1,063,472"
Caramelo,Ozuna,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo,"1,057,341"
How You Like That,BLACKPINK,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,"1,054,249"
Rain On Me (with Ariana Grande),Lady Gaga,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,"1,045,907"
Fever,"Dua Lipa, Angèle",https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w,"1,013,002"
my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl,"1,006,423"
Dime Cómo Quieres,"Christian Nodal, Ángela Aguilar",https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV,"1,004,554"
Falling,Trevor Daniel,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,"996,605"
Break My Heart,Dua Lipa,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,"995,066"
Azul,J Balvin,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1,"988,726"
Believer,Imagine Dragons,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,"985,453"
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg,"975,588"
Recairei - Ao Vivo,Os Barões Da Pisadinha,https://open.spotify.com/track/2JTir3y1VuJQmexiTCMcTP,"966,419"
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel",https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3,"965,179"
De Cora <3,"Rauw Alejandro, J Balvin",https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2,"959,398"
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,"953,681"
SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,"951,660"
I CAN'T STOP ME,TWICE,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH,"940,651"
Life Is Good (feat. Drake),Future,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,"935,049"
Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,"931,725"
Dior,Pop Smoke,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,"930,254"
ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,"927,563"
Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,"922,700"
If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,"921,617"
All Girls Are The Same,Juice WRLD,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,"911,705"
Jerusalema (feat. Nomcebo Zikode),Master KG,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi,"910,915"
Jocelyn Flores,XXXTENTACION,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,"909,829"
Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,"907,041"
ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,"905,441"
Abracadabra (feat. Future),Sfera Ebbasta,https://open.spotify.com/track/0lSVjlxmAMSJGFSjVB1FtU,"904,518"
Toosie Slide,Drake,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,"899,929"
Sleigh Ride,The Ronettes,https://open.spotify.com/track/46UMwpkxyIwzqhsaONm4wf,"899,800"
Ride It,Regard,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,"895,356"
everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,"889,690"
Go Crazy,"Chris Brown, Young Thug",https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,"882,790"
Feliz Navidad,José Feliciano,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,"882,734"
Tik Tok (feat. Marracash & Guè Pequeno),Sfera Ebbasta,https://open.spotify.com/track/11jGgkrtDbYaKlN0y1nPbC,"880,934"
